glcat_mcat_id,glcat_mcat_name,glcat_mcat_is_quantity_enabled,glcat_mcat_is_product
177621,Matrimonial Website Development Service,,S
177722,Smartplant 3D Training,0,S
177964,Motorcycle Speedometer Cover,2,P
178439,Dry Fruit Testing Service,0,S
178647,Prashant To Be Delete,,S
179148,Haul Off Caterpillar,2,P
180749,ATM Kiosk,2,P
186956,Fabric Tensile Strength Tester,2,P
260423,Rotary Furnace Heat Treatment Job Work,,S
260451,Heavy Shed Work Fabrication Service,,S
263946,Spm Machine Fabrication Service,,S
270160,S60 Rapid Prototyping,,S
270888,Sand Blasting Contractor,,S
271423,Roofing Shed Fabrication Work Service,,S
274459,Led Panel Light Tv Third Party,,S
274479,Third Party Detergent Powder,,S
276185,Wood Vmc Machine Job Work,,S
276629,Bathroom Treatment Service,,S
276687,Wedding Catering Decoration Service,,S
347054,Auto Rickshaw Advertisement,,S
347395,Barcode Label Print Service,,S
347399,Digital Barcode Printing Service,,S
350926,Digital Printing Job Work,,S
350930,Satin Personalised Sash Printing Service,,S
26761,Domain Transfer,0,S
31431,Laboratory Water System,2,P
32049,Life Insurance,0,S
32694,Nickel Fabrication,,S
37087,Satellite TV System,0,S
39076,Stripping Machine,2,P
39173,Swimming Pool Construction,,S
40700,Video Game Console,2,P
41194,Wheelchair Lifts,2,P
41699,Retreading Tyre Services,0,S
43031,Knitting Job Work,0,S
43914,Cobwebs Removal Services,,S
44904,Plywood Machine,2,P
45821,Central Cooling System,2,P
50304,Coin Operated Games,2,P
174356,Rock Cutting Service,,S
174554,Matrimonial Consultancy Service,,S
174604,Bevel Protractor Calibration Services,0,S
174634,DGR Goods Packaging Services,,S
175072,Brand Identity Management Service,,S
175446,Class A Surfacing Services,,S
175541,Knowledge Based Engineering Services,0,S
175543,Laptop Keyboard Repairing Services,0,S
175760,Patient Management System Services,0,S
175764,Periodontal Dental Treatment Services,0,S
175996,Air Slide Conveyor Fabrication Service,,S
176006,Business To IT Alignment Service,0,S
176182,Foot Over Bridge Construction Services,0,S
176705,Digital Colposcopy Test Centre,0,S
176958,Urticaria Treatment,0,S
178979,LPG Storage Tanks,2,P
179787,Trousseau Packing Classes,,S
181452,LED Sign Board,,S
181495,Xerox Multifunction Printer,2,P
182185,Laser Metal Cutting Machine,2,P
189018,CA Certification,0,S
190228,Lavazza Coffee Machine,2,P
191548,Digital Brochure Printing,,S
263918,Mild Steel Heavy Test Table Fabrication Service,,S
270096,Gold Golden Cutlery Pvd Coating Service,,S
270134,Multi Storage Rack Fabrication,,S
271433,Domestic Car Parking Gi Shed Fabrication Service,,S
273057,Shree Momai Steel Fabrication,,S
273441,Ice Cream Stall Designing Service,,S
357891,Shampoo Bottle Label Printing Service,,S
364961,Mumbai Local Train Advertising Service,,S
445685,Mimbar,2,P
650493,Gulab Jamun Making Machine,2,P
95417,Hanging Sign,,S
102041,Conversion Coating Services,,S
102052,Color Separation Services,0,S
108364,Educational Game Software,2,P
191443,Metal Fabrication,0,S
192881,Komatsu Forklift,2,P
193158,Nihon Kohden Cell Counter,2,P
209185,Food Truck Rental,,S
215914,Density Separator,2,P
